Category,Brand,Type,Item,Notes,Dairy or Pareve,All or Sephardim only
Alcoholic Beverages, Zodiac,Vodka,Vodka,,P,A
Alcoholic Beverages,1519 Tequila,Tequila,Tequila,,P,A
Alcoholic Beverages,1800 Tequila,Tequila,Tequila,,P,A
Alcoholic Beverages,Ace Ciders,Cider,Ace Ciders,,P,A
Alcoholic Beverages,All Brands,Tequila,All 100% Agave Tequilas are fine,,P,A
Alcoholic Beverages,Angry Orchard,Cider,Angry Orchard,,P,A
Alcoholic Beverages,Anheuser-Busch,Beer,Redbridge,,P,A
Alcoholic Beverages,Appleton Estate ,Rum,Jamaica Rum,,P,A
Alcoholic Beverages,Bacardi,Rum,"Bacardi Rum—only Gold, Superior, 151, and flavored",,P,A
Alcoholic Beverages,Bard's,Beer,Beer,,P,A
Alcoholic Beverages,Bayou,Rum,Bayou Rum,,P,A
Alcoholic Beverages,Blackthorn Cider,Cider,Blackthorn Cider,,P,A
Alcoholic Beverages,Blue Mountain Cider Company,Cider,Blue Mountain Cider Company,,P,A
Alcoholic Beverages,Bombora,Vodka,Vodka,,P,A
Alcoholic Beverages,Boyd & Blair,Vodka,Vodka,,P,A
Alcoholic Beverages,Broken Shed,Vodka,Vodka,,P,A
Alcoholic Beverages,Bulmer's Hard Cider,Cider,Bulmer's Hard Cider,,P,A
Alcoholic Beverages,Bundaberg ,Rum,Bundaberg Rum,,P,A
Alcoholic Beverages,Bushman's  ,Vodka ,Vodka ,from Australia (made from 100% cane).,P,A
Alcoholic Beverages,Cabo Wabo,Tequila,Tequila,,P,A
Alcoholic Beverages,Captain Morgan ,Rum,Captain Morgan Rum,,P,A
Alcoholic Beverages,Casamigos,Tequila,Tequila,,P,A
Alcoholic Beverages,Cazadores,Tequila,Tequila,,P,A
Alcoholic Beverages,Chase,Vodka,Vodka,,P,A
Alcoholic Beverages,Chimayo,Tequila,Tequila,,P,A
Alcoholic Beverages,Chopin,Vodka,Vodka,,P,A
Alcoholic Beverages,Chopin ,Vodka ,Potato Vodka ,(potato).,P,A
Alcoholic Beverages,Cirrus,Vodka,Vodka,,P,A
Alcoholic Beverages,Club ,Gin,Gin & Tonic (corn).,,P,A
Alcoholic Beverages,Club ,Vodka ,Screwdriver (corn).,,P,A
Alcoholic Beverages,Club ,Vodka ,Vodka & Tonic (corn).,,P,A
Alcoholic Beverages,Club ,Vodka ,Vodka Gimlet (corn).,,P,A
Alcoholic Beverages,Cocktails for Two ,Vodka ,Screwdriver (corn).,,P,A
Alcoholic Beverages,Cocktails for Two ,Vodka ,Vodka & Tonic (corn).,,P,A
Alcoholic Beverages,Cold River ,Gin,Gin,,P,A
Alcoholic Beverages,Cold River ,Vodka,Vodka,,P,A
Alcoholic Beverages,Cooranbong,Vodka,Vodka,,P,A
Alcoholic Beverages,Coor's Peak,Beer,Coors Peak Golden Lager,,P,A
Alcoholic Beverages,Cowboy Country Distilling ,Whiskey,Gold Spur Corn Whiskey,,P,A
Alcoholic Beverages,Cracovia,Vodka,Vodka,,P,A
Alcoholic Beverages,Crispin Cider (including Fox Barrel products),Cider,Crispin Cider (including Fox Barrel products),,P,A
Alcoholic Beverages,Cruzan ,Rum,Cruzan Rum,,P,A
Alcoholic Beverages,Crystal Head,Vodka ,Vodka,(Peach & Corn),P,A
Alcoholic Beverages,Deep Eddy,Vodka ,Vodka,(corn),P,A
Alcoholic Beverages,Deep Eddy,Vodka,Vodka,,P,A
Alcoholic Beverages,Devotion Vodka,Vodka ,Vodka,(made from corn),P,A
Alcoholic Beverages,Dixie,Vodka ,Vodka,all 4 types (corn),P,A
Alcoholic Beverages,Dogfish Head,Beer,Tweason'ale,(made from Sorghum),P,A
Alcoholic Beverages,Don Julio,Tequila,Tequila,,P,A
Alcoholic Beverages,DOT AU,Vodka,Vodka,,P,A
Alcoholic Beverages,Downunder,Vodka,Vodka,,P,A
Alcoholic Beverages,El Jimador,Tequila,Tequila,,P,A
Alcoholic Beverages,El Tosoro.,Tequila,Tequila,,P,A
Alcoholic Beverages,Gaymer Cider Company,Cider,Gaymer Cider ,,P,A
Alcoholic Beverages,Glacier Teton ,Vodka ,Vodka ,(made with 100% Idaho potatoes).,P,A
Alcoholic Beverages,Gran Teton,Vodka,Vodka,,P,A
Alcoholic Beverages,Hampton's ,Vodka ,Vodka (Corn),,P,A
Alcoholic Beverages,Harpoon Craft Cider,Cider,Harpoon Craft Cider,,P,A
Alcoholic Beverages,Herradura,Tequila,Tequila,,P,A
Alcoholic Beverages,Herradura.,Tequila,Tequila,,P,A
Alcoholic Beverages,Hornitos,Tequila,Tequila,,P,A
Alcoholic Beverages,Hudson Baby Bourbon,Bourbon,Hudson Baby Bourbon: made from 100% corn,,P,A
Alcoholic Beverages,Iceberg,Gin,Gin  ,,P,A
Alcoholic Beverages,Iceberg,Rum,Gold Rum,,P,A
Alcoholic Beverages,Iceberg,Rum,Silver Rum,,,
Alcoholic Beverages,Iceberg,Vodka ,vodka,(Peach & Corn),,
Alcoholic Beverages,J.K. Scrumpy's Organic Hard Cider,Cider,Hard Cider,,P,A
Alcoholic Beverages,James F.C. Hyde Sorgho Whiskey,Whiskey,James F.C. Hyde Sorgho Whiskey: made from 100% sorghum,,P,A
Alcoholic Beverages,James F.C. Hyde Whiskey,Whiskey,Sorgho Whiskey,(Sorghum),P,A
Alcoholic Beverages,Jinro Soju ,Vodka ,Vodka ,(Korean - sweet potatoes),P,A
Alcoholic Beverages,Jose Cuervo,Tequila,Tequila,,P,A
Alcoholic Beverages,Jose Cuervo ,Tequila,Traditional Tequila,,P,A
Alcoholic Beverages,Jose Cuervo ,Tequila,White Tequila ,(agave and cane).,P,A
Alcoholic Beverages,Kahlua,Kahlua,Kahlua,,P,A
Alcoholic Beverages,Kamchatka ,Vodka ,Vodka (corn).,,P,A
Alcoholic Beverages,Karlsson's,Vodka,Vodka,,P,A
Alcoholic Beverages,Kissui,Vodka,Vodka,,P,A
Alcoholic Beverages,Koval Bourbon Whiskey,Whiskey,Koval Bourbon Whiskey: made from 100% corn and millet mix,,P,A
Alcoholic Beverages,Koval Millet Whiskey,Whiskey,Koval Millet Whiskey: made from 100% millet,,P,A
Alcoholic Beverages,Krome,Vodka ,Krome Vodka,(made from corn),P,A
Alcoholic Beverages,Lazy Jack's Cider,Cider,Lazy Jack's Cider,,P,A
Alcoholic Beverages,L'Chaim,Vodka ,Kosher Vodka,(corn),P,A
Alcoholic Beverages,Luksusowa,Vodka ,Vodka,Potato,P,A
Alcoholic Beverages,Luksusowa,Vodka,Vodka,,P,A
Alcoholic Beverages,Luksusowa ,Vodka ,Vodka ,(Polish vodka distilled from potatoes),P,A
Alcoholic Beverages,Magner's Cider,Cider,Magner's Cider,,P,A
Alcoholic Beverages,Malibu ,Rum,Malibu Rum,,P,A
Alcoholic Beverages,Matador ,Tequila,White Tequila ,(agave and cane).,P,A
Alcoholic Beverages,Meyer's,Rum,Meyer's Rum,,P,A
Alcoholic Beverages,Milshire ,Gin,Gin (corn).,,P,A
Alcoholic Beverages,Monopolowa ,Vodka ,(Potato).,,P,A
Alcoholic Beverages,Monopolowa ,Vodka,Vodka,,P,A
Alcoholic Beverages,Montanya Distillers,Rum,Montanya Distillers Rum,,P,A
Alcoholic Beverages,Mount Gay ,Rum,Mount Gay Rum,,P,A
Alcoholic Beverages,New Southern Revival,Whiskey,Sorghum Whiskey,(Sorghum),P,A
Alcoholic Beverages,New Southern Revival Sorghum Whiskey,Whiskey,New Southern Revival Sorghum Whiskey: made from 100% sorghum,,P,A
Alcoholic Beverages,Newton's Folly Hard Cider,Cider,Newton's Folly Hard Cider,,P,A
Alcoholic Beverages,Nikolai,Vodka,Vodka,,P,A
Alcoholic Beverages,Old Sugar Distillery,Whiskey,Queen Jennie Whiskey,,P,A
Alcoholic Beverages,Original Sin Hard Cider,Cider,Original Sin Hard Cider,,P,A
Alcoholic Beverages,Patrón,Tequila,Tequila,,P,A
Alcoholic Beverages,Popov ,Gin,Gin (corn).,,P,A
Alcoholic Beverages,Popov  ,Vodka ,Citrus Vodka,,P,A
Alcoholic Beverages,Popov  ,Vodka ,Tangerine Vodka (corn).,,P,A
Alcoholic Beverages,Queen Jennie Sorghum Whiskey,Whiskey,Queen Jennie Sorghum Whiskey: made from 100% sorghum,,P,A
Alcoholic Beverages,Rain,Vodka,Vodka,,P,A
Alcoholic Beverages,Redbridge,Beer,Redbridge Beer,(made from Sorghum),P,A
Alcoholic Beverages,Relsk ,Vodka ,Vodka (corn).,,P,A
Alcoholic Beverages,S.S. Sorghum Whiskey,Whiskey,S.S. Sorghum Whiskey: made from 100% sorghum,,P,A
Alcoholic Beverages,Sauza,Tequila,Tequila,,P,A
Alcoholic Beverages,Sauza ,Tequila,Commeritivo Tequila,,P,A
Alcoholic Beverages,Sauza ,Tequila,Tres Generationes Tequila,,P,A
Alcoholic Beverages,Schramm Organic,Vodka,Vodka,,P,A
Alcoholic Beverages,Smirnoff,Vodka ,Vodka,(corn) Warning: NOT SMIRNOFF ICED DRINKS,P,A
Alcoholic Beverages,Smirnoff ,Vodka ,Citrus Twist Vodka (corn).,,P,A
Alcoholic Beverages,Smirnoff ,Vodka ,Silver Vodka (corn).,,P,A
Alcoholic Beverages,Smirnoff ,Vodka ,Vodka (corn).,,P,A
Alcoholic Beverages,Spire Mountain Draft Cider,Cider,Spire Mountain Draft Cider,,P,A
Alcoholic Beverages,Stella Artois Apple and Pear Hard Cidre,Cider,Stella Artois Apple and Pear Hard Cidre,,P,A
Alcoholic Beverages,Strongbow Cider,Cider,Strongbow Cider,,P,A
Alcoholic Beverages,Tito's,Vodka ,Handmade Vodka,,P,A
Alcoholic Beverages,Tito's,Vodka,Vodka,,P,A
Alcoholic Beverages,UV,Vodka,Vodka,,P,A
Alcoholic Beverages,Woodchuck,Cider,Woodchuck,,P,A
Alcoholic Beverages,Woodchuck Hard Cider,Hard Cider,All Cider Styles,(made from apples),P,A
Alcoholic Beverages,Woodpecker Cider,Cider,Woodpecker Cider,,P,A
Baby Food,All Brands,Baby Fruit ,Fruit,"with the following ingredients only; fruits, water, citric acid, &/or ascorbic acid",N/A,N/A
Baby Food,All Brands,Baby Fruit Juice ,Fruit Juice,"with the following ingredients only; fruit juice, water, &/or citric acid",N/A,N/A
Baby Food,All Brands,Baby Vegetables ,Vegetables ,"with the following ingredients only; vegetables, water, citric acid, &/or ascorbic acid",N/A,N/A
Baby Food,Beech Nut,Fruits,Apple Guava  ,Stage 2,N/A,N/A
